numero_experimento;dataset;estructura_de_datos;cantidad_tweets;tiempo_ejecucion_us
2;auspol2019;Chaining_user_screen_name;40000;6941
2;auspol2019;ClosedLinear_user_id;40000;6401
2;auspol2019;ClosedLinear_user_screen_name;40000;5744
2;auspol2019;ClosedQuadratic_user_id;40000;5622
2;auspol2019;ClosedQuadratic_user_screen_name;40000;5596
2;auspol2019;ClosedDoubleHashing_user_id;40000;10754
2;auspol2019;ClosedDoubleHashing_user_screen_name;40000;10932
2;auspol2019;STLUnorderedMap_user_id;40000;6980
2;auspol2019;STLUnorderedMap_user_screen_name;40000;6876
2;auspol2019;Chaining_user_id;50000;10095
2;auspol2019;Chaining_user_screen_name;50000;8696
2;auspol2019;ClosedLinear_user_id;50000;7648
2;auspol2019;ClosedLinear_user_screen_name;50000;7271
2;auspol2019;ClosedQuadratic_user_id;50000;7559
2;auspol2019;ClosedQuadratic_user_screen_name;50000;7903
2;auspol2019;ClosedDoubleHashing_user_id;50000;12114
2;auspol2019;ClosedDoubleHashing_user_screen_name;50000;11812
2;auspol2019;STLUnorderedMap_user_id;50000;8491
2;auspol2019;STLUnorderedMap_user_screen_name;50000;7737
2;auspol2019;Chaining_user_id;60000;10664
2;auspol2019;Chaining_user_screen_name;60000;9812
2;auspol2019;ClosedLinear_user_id;60000;9011
2;auspol2019;ClosedLinear_user_screen_name;60000;8534
2;auspol2019;ClosedQuadratic_user_id;60000;8668
2;auspol2019;ClosedQuadratic_user_screen_name;60000;9255
2;auspol2019;ClosedDoubleHashing_user_id;60000;14155
2;auspol2019;ClosedDoubleHashing_user_screen_name;60000;14009
2;auspol2019;STLUnorderedMap_user_id;60000;14201
2;auspol2019;STLUnorderedMap_user_screen_name;60000;9077
2;auspol2019;Chaining_user_id;70000;11919
2;auspol2019;Chaining_user_screen_name;70000;11221
2;auspol2019;ClosedLinear_user_id;70000;10491
2;auspol2019;ClosedLinear_user_screen_name;70000;10380
2;auspol2019;ClosedQuadratic_user_id;70000;9489
2;auspol2019;ClosedQuadratic_user_screen_name;70000;15579
2;auspol2019;ClosedDoubleHashing_user_id;70000;18331
2;auspol2019;ClosedDoubleHashing_user_screen_name;70000;19752
2;auspol2019;STLUnorderedMap_user_id;70000;12183
2;auspol2019;STLUnorderedMap_user_screen_name;70000;11440
2;auspol2019;Chaining_user_id;80000;15177
2;auspol2019;Chaining_user_screen_name;80000;20369
2;auspol2019;ClosedLinear_user_id;80000;13563
2;auspol2019;ClosedLinear_user_screen_name;80000;12320
2;auspol2019;ClosedQuadratic_user_id;80000;11796
2;auspol2019;ClosedQuadratic_user_screen_name;80000;11240
2;auspol2019;ClosedDoubleHashing_user_id;80000;18585
2;auspol2019;ClosedDoubleHashing_user_screen_name;80000;18016
2;auspol2019;STLUnorderedMap_user_id;80000;12096
2;auspol2019;STLUnorderedMap_user_screen_name;80000;11556
2;auspol2019;Chaining_user_id;90000;14459
2;auspol2019;Chaining_user_screen_name;90000;13970
2;auspol2019;ClosedLinear_user_id;90000;12790
2;auspol2019;ClosedLinear_user_screen_name;90000;12058
2;auspol2019;ClosedQuadratic_user_id;90000;12482
2;auspol2019;ClosedQuadratic_user_screen_name;90000;11877
2;auspol2019;ClosedDoubleHashing_user_id;90000;20271
2;auspol2019;ClosedDoubleHashing_user_screen_name;90000;22637
2;auspol2019;STLUnorderedMap_user_id;90000;13498
2;auspol2019;STLUnorderedMap_user_screen_name;90000;13236
2;auspol2019;Chaining_user_id;100000;16134
2;auspol2019;Chaining_user_screen_name;100000;15761
2;auspol2019;ClosedLinear_user_id;100000;14215
2;auspol2019;ClosedLinear_user_screen_name;100000;13952
2;auspol2019;ClosedQuadratic_user_id;100000;15918
2;auspol2019;ClosedQuadratic_user_screen_name;100000;15424
2;auspol2019;ClosedDoubleHashing_user_id;100000;23214
2;auspol2019;ClosedDoubleHashing_user_screen_name;100000;22896
2;auspol2019;STLUnorderedMap_user_id;100000;14779
2;auspol2019;STLUnorderedMap_user_screen_name;100000;14471
2;auspol2019;Chaining_user_id;110000;17800
2;auspol2019;Chaining_user_screen_name;110000;18193
2;auspol2019;ClosedLinear_user_id;110000;16129
2;auspol2019;ClosedLinear_user_screen_name;110000;15712
2;auspol2019;ClosedQuadratic_user_id;110000;16172
2;auspol2019;ClosedQuadratic_user_screen_name;110000;15087
2;auspol2019;ClosedDoubleHashing_user_id;110000;24284
2;auspol2019;ClosedDoubleHashing_user_screen_name;110000;24220
2;auspol2019;STLUnorderedMap_user_id;110000;15886
2;auspol2019;STLUnorderedMap_user_screen_name;110000;15177
2;auspol2019;Chaining_user_id;120000;18958
2;auspol2019;Chaining_user_screen_name;120000;18332
2;auspol2019;ClosedLinear_user_id;120000;16843
2;auspol2019;ClosedLinear_user_screen_name;120000;16912
2;auspol2019;ClosedQuadratic_user_id;120000;18207
2;auspol2019;ClosedQuadratic_user_screen_name;120000;18066
2;auspol2019;ClosedDoubleHashing_user_id;120000;26840
2;auspol2019;ClosedDoubleHashing_user_screen_name;120000;28261
2;auspol2019;STLUnorderedMap_user_id;120000;19110
2;auspol2019;STLUnorderedMap_user_screen_name;120000;17108
2;auspol2019;Chaining_user_id;130000;21745
2;auspol2019;Chaining_user_screen_name;130000;20618
2;auspol2019;ClosedLinear_user_id;130000;19168
2;auspol2019;ClosedLinear_user_screen_name;130000;18535
2;auspol2019;ClosedQuadratic_user_id;130000;18099
2;auspol2019;ClosedQuadratic_user_screen_name;130000;18695
2;auspol2019;ClosedDoubleHashing_user_id;130000;34659
2;auspol2019;ClosedDoubleHashing_user_screen_name;130000;33610
2;auspol2019;STLUnorderedMap_user_id;130000;29741
2;auspol2019;STLUnorderedMap_user_screen_name;130000;24144
2;auspol2019;Chaining_user_id;140000;28726
2;auspol2019;Chaining_user_screen_name;140000;25531
2;auspol2019;ClosedLinear_user_id;140000;23598
2;auspol2019;ClosedLinear_user_screen_name;140000;23174
2;auspol2019;ClosedQuadratic_user_id;140000;23401
2;auspol2019;ClosedQuadratic_user_screen_name;140000;18982
2;auspol2019;ClosedDoubleHashing_user_id;140000;30537
2;auspol2019;ClosedDoubleHashing_user_screen_name;140000;29822
2;auspol2019;STLUnorderedMap_user_id;140000;20558
2;auspol2019;STLUnorderedMap_user_screen_name;140000;18547
2;auspol2019;Chaining_user_id;150000;23085
2;auspol2019;Chaining_user_screen_name;150000;22245
2;auspol2019;ClosedLinear_user_id;150000;20135
2;auspol2019;ClosedLinear_user_screen_name;150000;21405
2;auspol2019;ClosedQuadratic_user_id;150000;19905
2;auspol2019;ClosedQuadratic_user_screen_name;150000;21122
2;auspol2019;ClosedDoubleHashing_user_id;150000;32279
2;auspol2019;ClosedDoubleHashing_user_screen_name;150000;32332
2;auspol2019;STLUnorderedMap_user_id;150000;20317
